age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,annual-salary
20-30,Private,200000-250000,11th,<9,Never-married,Machine-op-inspct,Own-child,Black,Male,40-50,<=50K
30-40,Private,<100000,HS-grad,9-10,Married-civ-spouse,Farming-fishing,Husband,White,Male,50-60,<=50K
20-30,Local-gov,>300000,Assoc-acdm,>12,Married-civ-spouse,Protective-serv,Husband,White,Male,40-50,>50K
40-50,Private,150000-200000,Some-college,10-11,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40-50,>50K
<20,?,100000-150000,Some-college,10-11,Never-married,?,Own-child,White,Female,30-40,<=50K
30-40,Private,150000-200000,10th,<9,Never-married,Other-service,Not-in-family,White,Male,30-40,<=50K
20-30,?,200000-250000,HS-grad,9-10,Never-married,?,Unmarried,Black,Male,40-50,<=50K
60-70,Self-emp-not-inc,100000-150000,Prof-school,>12,Married-civ-spouse,Prof-specialty,Husband,White,Male,30-40,>50K
20-30,Private,>300000,Some-college,10-11,Never-married,Other-service,Unmarried,White,Female,40-50,<=50K
50-60,Private,100000-150000,7th-8th,<9,Married-civ-spouse,Craft-repair,Husband,White,Male,<20,<=50K
60-70,Private,150000-200000,HS-grad,9-10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40-50,>50K
30-40,Federal-gov,200000-250000,Bachelors,>12,Married-civ-spouse,Adm-clerical,Husband,White,Male,40-50,<=50K
20-30,Private,<100000,HS-grad,9-10,Never-married,Adm-clerical,Not-in-family,White,Female,30-40,<=50K
50-60,?,250000-300000,HS-grad,9-10,Married-civ-spouse,?,Husband,White,Male,30-40,<=50K
40-50,Private,250000-300000,HS-grad,9-10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40-50,>50K
40-50,Private,>300000,Masters,>12,Married-civ-spouse,Exec-managerial,Husband,White,Male,50-60,>50K
20-30,State-gov,>300000,Some-college,10-11,Never-married,Other-service,Own-child,White,Male,20-30,<=50K
40-50,Private,100000-150000,HS-grad,9-10,Married-civ-spouse,Adm-clerical,Wife,White,Female,30-40,<=50K
30-40,Private,<100000,HS-grad,9-10,Widowed,Machine-op-inspct,Unmarried,White,Female,20-30,<=50K
40-50,Private,<100000,Doctorate,>12,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40-50,>50K
30-40,Private,100000-150000,Bachelors,>12,Married-civ-spouse,Tech-support,Husband,White,Male,40-50,>50K
30-40,Private,200000-250000,Some-college,10-11,Never-married,Other-service,Own-child,Black,Female,30-40,<=50K
>70,?,100000-150000,7th-8th,<9,Divorced,?,Not-in-family,White,Female,<20,<=50K
20-30,Private,200000-250000,Bachelors,>12,Never-married,Prof-specialty,Not-in-family,White,Male,40-50,<=50K
20-30,Private,200000-250000,Bachelors,>12,Married-civ-spouse,Prof-specialty,Husband,White,Male,40-50,<=50K
40-50,Self-emp-not-inc,>300000,HS-grad,9-10,Married-civ-spouse,Craft-repair,Husband,White,Male,>60,>50K
